model,loss,entropy,value_loss,policy_loss,tr_loss,tr_entropy,tr_value_loss,tr_policy_loss,kl,lr_multiplier,explained_var_old,explained_var_new,use_slap,Num_ResBlock,lr,SGD,dropout,L2,extra_act_fc
n10_0.1lr_SGD0.4dropout_0.001L2,4.4670486,"tensor(4.1589, device='cuda:0')","tensor(0.3083, device='cuda:0')","tensor(4.1587, device='cuda:0')",2.860412121,2.887872934,8.26E-05,2.860329628,0.11296058,1,0.998561864,0.999319923,FALSE,10,0.1,TRUE,0.4,0.001,FALSE
n10_0.1lr_Adam0dropout_0.001L2,4.373391,"tensor(4.1519, device='cuda:0')","tensor(0.2175, device='cuda:0')","tensor(4.1559, device='cuda:0')",3.435680628,3.362493515,0.110600039,3.325080633,0.097562924,1,0.517098927,0.521544085,FALSE,10,0.1,FALSE,0,0.001,FALSE
n10_0.1lr_Adam0.1dropout_0.001L2,4.3658185,"tensor(4.1487, device='cuda:0')","tensor(0.2135, device='cuda:0')","tensor(4.1523, device='cuda:0')",4.319725037,4.149115562,0.170557618,4.149167538,0.000219498,1,0.256811563,0.25225757,FALSE,10,0.1,FALSE,0.1,0.001,FALSE
n10_0.1lr_Adam0.2dropout_0.001L2,4.368634,"tensor(4.1467, device='cuda:0')","tensor(0.2168, device='cuda:0')","tensor(4.1519, device='cuda:0')",4.044550896,3.868459225,0.174349219,3.870201588,0.10746747,1,0.215268204,0.218667792,FALSE,10,0.1,FALSE,0.2,0.001,FALSE
n10_0.1lr_Adam0.3dropout_0.001L2,4.4451857,"tensor(4.1455, device='cuda:0')","tensor(0.2914, device='cuda:0')","tensor(4.1538, device='cuda:0')",4.204468727,4.145319939,0.049027048,4.155441761,0.000210287,1,0.777928935,0.82161052,FALSE,10,0.1,FALSE,0.3,0.001,FALSE
n10_0.1lr_Adam0.4dropout_0.001L2,4.365906,"tensor(4.1451, device='cuda:0')","tensor(0.2129, device='cuda:0')","tensor(4.1530, device='cuda:0')",4.355266571,4.144970894,0.20873943,4.14652729,0.000170046,1,-0.000656435,0.001779754,FALSE,10,0.1,FALSE,0.4,0.001,FALSE
n10_0.01lr_SGD0dropout_0.001L2,4.568084,"tensor(4.0625, device='cuda:0')","tensor(0.3023, device='cuda:0')","tensor(4.2658, device='cuda:0')",2.870183706,2.883154392,3.13E-06,2.870180607,0.001029584,1,0.999985787,0.999982459,FALSE,10,0.01,TRUE,0,0.001,FALSE
n10_0.01lr_SGD0.1dropout_0.001L2,4.4565983,"tensor(4.1558, device='cuda:0')","tensor(0.3074, device='cuda:0')","tensor(4.1492, device='cuda:0')",2.873152256,2.863403559,0.001992777,2.871159554,0.021090645,1,0.990974636,0.991078884,FALSE,10,0.01,TRUE,0.1,0.001,FALSE
n10_0.01lr_SGD0.2dropout_0.001L2,4.494044,"tensor(4.1315, device='cuda:0')","tensor(0.3077, device='cuda:0')","tensor(4.1864, device='cuda:0')",2.843807697,2.859941721,0.000109487,2.843698263,0.022704143,1,0.999609647,0.999566439,FALSE,10,0.01,TRUE,0.2,0.001,FALSE
n10_0.01lr_SGD0.3dropout_0.001L2,4.4624934,"tensor(4.1536, device='cuda:0')","tensor(0.3072, device='cuda:0')","tensor(4.1553, device='cuda:0')",2.896442175,2.915346861,0.000132784,2.896309376,0.029471261,1,0.99844483,0.999527664,FALSE,10,0.01,TRUE,0.3,0.001,FALSE
n10_0.01lr_SGD0.4dropout_0.001L2,4.460838,"tensor(4.1566, device='cuda:0')","tensor(0.3073, device='cuda:0')","tensor(4.1535, device='cuda:0')",2.71376133,2.737219334,0.000184531,2.713576794,0.033334702,1,0.999143615,0.999330966,FALSE,10,0.01,TRUE,0.4,0.001,FALSE
n10_0.01lr_Adam0dropout_0.001L2,4.4659805,"tensor(4.1588, device='cuda:0')","tensor(0.3071, device='cuda:0')","tensor(4.1589, device='cuda:0')",2.848707676,2.838855267,0.001893729,2.846813917,0.006131082,1,0.991562871,0.998807028,FALSE,10,0.01,FALSE,0,0.001,FALSE
n10_0.01lr_Adam0.1dropout_0.001L2,4.4055934,"tensor(4.1354, device='cuda:0')","tensor(0.3064, device='cuda:0')","tensor(4.0992, device='cuda:0')",2.798702955,2.793549061,0.001999112,2.796703815,0.035958912,1,0.99104004,0.990836417,FALSE,10,0.01,FALSE,0.1,0.001,FALSE
n10_0.01lr_Adam0.2dropout_0.001L2,4.4648447,"tensor(4.1588, device='cuda:0')","tensor(0.3061, device='cuda:0')","tensor(4.1587, device='cuda:0')",2.851867437,2.854502201,2.54E-05,2.851841927,0.031216444,1,0.999890575,0.999981472,FALSE,10,0.01,FALSE,0.2,0.001,FALSE
n10_0.01lr_Adam0.3dropout_0.001L2,4.4654093,"tensor(4.1447, device='cuda:0')","tensor(0.3069, device='cuda:0')","tensor(4.1585, device='cuda:0')",2.842680693,2.847776651,0.002385926,2.840294838,0.04868585,1,0.990031366,0.989021997,FALSE,10,0.01,FALSE,0.3,0.001,FALSE
n10_0.01lr_Adam0.4dropout_0.001L2,4.463219,"tensor(4.1584, device='cuda:0')","tensor(0.3076, device='cuda:0')","tensor(4.1556, device='cuda:0')",2.859613657,2.882658482,0.000209536,2.859404087,0.042077385,1,0.999603788,0.999856338,FALSE,10,0.01,FALSE,0.4,0.001,FALSE
n10_0.001lr_SGD0dropout_0.001L2,4.4538236,"tensor(4.0957, device='cuda:0')","tensor(0.2580, device='cuda:0')","tensor(4.1958, device='cuda:0')",2.973582983,2.996011734,0.001302982,2.972280025,0.000203744,1,0.993784065,0.994587557,FALSE,10,0.001,TRUE,0,0.001,FALSE
n10_0.001lr_SGD0.1dropout_0.001L2,4.4626117,"tensor(4.1495, device='cuda:0')","tensor(0.3001, device='cuda:0')","tensor(4.1625, device='cuda:0')",2.916769028,2.945312977,0.002156505,2.914612532,0.015196536,1,0.990041283,0.990452766,FALSE,10,0.001,TRUE,0.1,0.001,FALSE
n10_0.001lr_SGD0.2dropout_0.001L2,4.4655213,"tensor(4.1564, device='cuda:0')","tensor(0.3043, device='cuda:0')","tensor(4.1612, device='cuda:0')",2.849790573,2.920100927,0.000432061,2.849358559,0.025574286,1,0.998234985,0.998161112,FALSE,10,0.001,TRUE,0.2,0.001,FALSE
n10_0.001lr_SGD0.3dropout_0.001L2,4.4666753,"tensor(4.1578, device='cuda:0')","tensor(0.3068, device='cuda:0')","tensor(4.1599, device='cuda:0')",2.992198706,3.039558887,0.000550236,2.991648436,0.047435448,1,0.997295909,0.997556278,FALSE,10,0.001,TRUE,0.3,0.001,FALSE
n10_0.001lr_SGD0.4dropout_0.001L2,4.5515523,"tensor(4.0759, device='cuda:0')","tensor(0.3066, device='cuda:0')","tensor(4.2449, device='cuda:0')",3.062053442,3.099464893,0.000703074,3.061350346,0.06630742,1,0.996898083,0.997496789,FALSE,10,0.001,TRUE,0.4,0.001,FALSE
n10_0.001lr_Adam0dropout_0.001L2,4.3655095,"tensor(4.1560, device='cuda:0')","tensor(0.2473, device='cuda:0')","tensor(4.1182, device='cuda:0')",2.924782038,2.941123486,0.002470716,2.922311306,0.003067633,1,0.988151172,0.990422638,FALSE,10,0.001,FALSE,0,0.001,FALSE
n10_0.001lr_Adam0.1dropout_0.001L2,4.4342155,"tensor(4.1568, device='cuda:0')","tensor(0.3074, device='cuda:0')","tensor(4.1268, device='cuda:0')",2.829836845,2.853313208,1.80E-05,2.829818726,0.02386769,1,0.99993129,0.999910206,FALSE,10,0.001,FALSE,0.1,0.001,FALSE
n10_0.001lr_Adam0.2dropout_0.001L2,4.4013,"tensor(4.1579, device='cuda:0')","tensor(0.2635, device='cuda:0')","tensor(4.1378, device='cuda:0')",2.824407816,2.850986481,0.000263424,2.824144363,0.028698657,1,0.998871773,0.99947908,FALSE,10,0.001,FALSE,0.2,0.001,FALSE
n10_0.001lr_Adam0.3dropout_0.001L2,4.446538,"tensor(4.1576, device='cuda:0')","tensor(0.3074, device='cuda:0')","tensor(4.1392, device='cuda:0')",2.820998907,2.848038673,6.82E-05,2.820930719,0.037863996,1,0.999710045,0.999722793,FALSE,10,0.001,FALSE,0.3,0.001,FALSE
n10_0.001lr_Adam0.4dropout_0.001L2,4.4487424,"tensor(4.1577, device='cuda:0')","tensor(0.3078, device='cuda:0')","tensor(4.1410, device='cuda:0')",2.860186338,2.899579525,0.000101347,2.860085011,0.04721967,1,0.99949147,0.999382281,FALSE,10,0.001,FALSE,0.4,0.001,FALSE
n10_0.0001lr_SGD0dropout_0.001L2,4.399412,"tensor(4.1574, device='cuda:0')","tensor(0.2379, device='cuda:0')","tensor(4.1615, device='cuda:0')",3.630685806,3.963977814,0.02302498,3.60766077,9.87E-06,1,0.883079934,0.883873177,FALSE,10,0.0001,TRUE,0,0.001,FALSE
n10_0.0001lr_SGD0.1dropout_0.001L2,4.4635983,"tensor(4.1577, device='cuda:0')","tensor(0.3041, device='cuda:0')","tensor(4.1595, device='cuda:0')",3.45736289,3.933843136,0.016434362,3.440928459,0.027871668,1,0.924888815,0.919190219,FALSE,10,0.0001,TRUE,0.1,0.001,FALSE
n10_0.0001lr_SGD0.2dropout_0.001L2,4.4330683,"tensor(4.1576, device='cuda:0')","tensor(0.2723, device='cuda:0')","tensor(4.1608, device='cuda:0')",3.557103395,3.953558922,0.018743658,3.538359642,0.054758392,1,0.919997769,0.921967827,FALSE,10,0.0001,TRUE,0.2,0.001,FALSE
n10_0.0001lr_SGD0.3dropout_0.001L2,4.470189,"tensor(4.1471, device='cuda:0')","tensor(0.3024, device='cuda:0')","tensor(4.1678, device='cuda:0')",3.598881483,3.950884342,0.020688677,3.578192711,0.09189689,1,0.910147435,0.902755248,FALSE,10,0.0001,TRUE,0.3,0.001,FALSE
n10_0.0001lr_SGD0.4dropout_0.001L2,4.418534,"tensor(4.1553, device='cuda:0')","tensor(0.2575, device='cuda:0')","tensor(4.1610, device='cuda:0')",3.758742809,3.992134571,0.016968668,3.741774082,0.123344585,1,0.916496178,0.922083481,FALSE,10,0.0001,TRUE,0.4,0.001,FALSE
n10_0.0001lr_Adam0dropout_0.001L2,4.7015424,"tensor(3.9068, device='cuda:0')","tensor(0.2862, device='cuda:0')","tensor(4.4154, device='cuda:0')",2.949071884,3.002418041,0.000261528,2.948810339,0.001069615,1,0.998766535,0.999815057,FALSE,10,0.0001,FALSE,0,0.001,FALSE
n10_0.0001lr_Adam0.1dropout_0.001L2,4.477029,"tensor(4.1300, device='cuda:0')","tensor(0.3004, device='cuda:0')","tensor(4.1766, device='cuda:0')",2.81710434,2.879525661,0.002085137,2.815019131,0.01181725,1,0.99051417,0.990112279,FALSE,10,0.0001,FALSE,0.1,0.001,FALSE
n10_0.0001lr_Adam0.2dropout_0.001L2,4.4612985,"tensor(4.1515, device='cuda:0')","tensor(0.3072, device='cuda:0')","tensor(4.1541, device='cuda:0')",2.868716717,2.934674263,0.000872156,2.867844582,0.021249346,1,0.995038223,0.998954161,FALSE,10,0.0001,FALSE,0.2,0.001,FALSE
n10_0.0001lr_Adam0.3dropout_0.001L2,4.465633,"tensor(4.1489, device='cuda:0')","tensor(0.3062, device='cuda:0')","tensor(4.1594, device='cuda:0')",2.933151722,2.98681736,0.002125498,2.93102622,0.025683368,1,0.989858413,0.98991299,FALSE,10,0.0001,FALSE,0.3,0.001,FALSE
n10_0.0001lr_Adam0.4dropout_0.001L2,4.4654927,"tensor(4.1533, device='cuda:0')","tensor(0.3082, device='cuda:0')","tensor(4.1573, device='cuda:0')",3.091499329,3.117792606,0.000374099,3.09112525,0.038834527,1,0.997962618,0.997750349,FALSE,10,0.0001,FALSE,0.4,0.001,FALSE
n10_1e-05lr_SGD0dropout_0.001L2,4.4836564,"tensor(4.1392, device='cuda:0')","tensor(0.3028, device='cuda:0')","tensor(4.1809, device='cuda:0')",4.309700489,4.115540504,0.153192788,4.156507492,4.21E-08,1,0.307904717,0.308253189,FALSE,10,1.00E-05,TRUE,0,0.001,FALSE
