model,loss,entropy,value_loss,policy_loss,use_slap,Num_ResBlock,lr,optimizer,dropout,L2,extra_act_fc,batch_size,train_loss,train_entropy,train_value_loss,train_policy_loss,kl,lr_multiplier,explained_var_old,explained_var_new
s0_size10064_originalsize10064,2.87775588,2.919898272,0.005342532,2.872413397,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,3.045368195,3.017242193,0.010022704,3.035345554,0.001304139,1,0.95280262,0.960219442
s0_size10064_originalsize10064,2.87434864,2.902865887,0.004904606,2.869444132,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.959915638,2.958757639,0.006520387,2.953395367,0.000372032,1,0.96978627,0.970562642
s0_size10064_originalsize10064,2.870094538,2.880706072,0.004358046,2.865736485,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.917450666,2.850928545,0.013930581,2.903520107,0.001703207,1,0.936853413,0.948284625
s0_size10064_originalsize10064,2.869674444,2.855793238,0.005230424,2.864444017,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.910400867,2.907804489,0.006611232,2.90378952,0.000599254,1,0.96953467,0.968090591
s0_size10064_originalsize10064,2.866070986,2.862499952,0.004145117,2.86192584,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.842213869,2.837588787,0.005697859,2.836515903,0.000545473,1,0.974235697,0.973486362
s0_size10064_originalsize10064,2.862486124,2.866888762,0.003767409,2.858718634,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.871506214,2.867956638,0.003868503,2.867637634,0.000317773,1,0.982426295,0.983002834
s0_size10064_originalsize10064,2.861304998,2.86434412,0.004056138,2.857248783,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.8227005,2.795385838,0.007824073,2.814876318,0.000211717,1,0.964930814,0.964886222
s0_size10064_originalsize10064,2.858817339,2.873165607,0.003780148,2.855037212,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.995169878,2.984815121,0.007485643,2.98768425,0.000238477,1,0.963725349,0.96605396
s0_size10064_originalsize10064,2.857846498,2.90261817,0.004929056,2.852917433,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.764534712,2.746196508,0.008348521,2.756186247,0.004563374,1,0.963561427,0.978350454
s0_size10064_originalsize10064,2.856478453,2.920027018,0.00397558,2.852502823,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.900261402,2.936024904,0.004229806,2.896031618,0.000513223,1,0.980675403,0.982165218
s0_size10064_originalsize10064,2.85939908,2.945968628,0.00560362,2.853795528,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.863840103,2.925662518,0.004482947,2.859357119,0.000902764,1,0.981576644,0.977543978
s0_size10064_originalsize10064,2.850792646,2.894297838,0.003697651,2.847095013,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.971295595,2.896845341,0.008171621,2.963124037,0.010436146,1,0.961275045,0.978417959
s0_size10064_originalsize10064,2.849179983,2.826402903,0.004416389,2.844763517,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.986897469,2.928304195,0.008233821,2.978663683,0.002110634,1,0.9617381,0.976682174
s0_size10064_originalsize10064,2.845406294,2.839337349,0.003425023,2.841981173,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.74487257,2.821915388,0.005200781,2.739671707,0.01055461,1,0.979272189,0.97914928
s0_size10064_originalsize10064,2.841990948,2.862597227,0.003545419,2.838445425,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.684386969,2.659599543,0.003790125,2.680596828,0.001803443,1,0.983737551,0.983246326
s0_size10064_originalsize10064,2.841387749,2.823483944,0.00351623,2.837871552,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.921525717,2.933333158,0.004250188,2.917275429,0.002167748,1,0.979832405,0.979417974
s0_size10064_originalsize10064,2.838073015,2.852646351,0.00330263,2.834770441,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.785590172,2.832130194,0.004872329,2.78071785,0.000937188,1,0.98115972,0.984182847
s0_size10064_originalsize10064,2.834733725,2.839024067,0.002871264,2.83186245,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.891942501,2.919783592,0.001843453,2.890099049,0.000728996,1,0.99233178,0.993153887
s0_size10064_originalsize10064,2.832416296,2.84414649,0.002770991,2.829645395,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.741821527,2.748725414,0.002952324,2.73886919,0.000320651,1,0.987400869,0.987342811
s0_size10064_originalsize10064,2.831388474,2.845528841,0.002854798,2.828533649,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.905068159,2.939081192,0.002324439,2.902743816,0.000578034,1,0.990959879,0.992541436
s0_size10064_originalsize10064,2.830914974,2.871722937,0.002828811,2.828086138,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.790612221,2.831998348,0.003051806,2.787560463,0.000178704,1,0.987907773,0.988097615
s0_size10064_originalsize10064,2.827895641,2.84310174,0.002660152,2.825235605,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.807221889,2.845422745,0.002993128,2.804228783,0.001378487,1,0.988618554,0.990800649
s0_size10064_originalsize10064,2.82899785,2.876663685,0.002992662,2.82600522,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.853654861,2.886466026,0.003495096,2.850159883,0.000599194,1,0.985796899,0.984677911
s0_size10064_originalsize10064,2.82436657,2.845887184,0.002822354,2.82154417,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.760871172,2.746554375,0.004341065,2.756530046,0.001785929,1,0.98181957,0.986988362
s0_size10064_originalsize10064,2.822984219,2.823157072,0.002555975,2.820428133,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.852939367,2.842984676,0.003799337,2.849139929,0.000412313,1,0.982872773,0.983931683
s0_size10064_originalsize10064,2.820934534,2.830220699,0.002371144,2.818563461,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.831370115,2.814519405,0.004601832,2.826768398,0.000455216,1,0.979063173,0.979686158
s0_size10064_originalsize10064,2.821408272,2.851284981,0.003011885,2.81839633,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.847930193,2.854257107,0.002971787,2.844958305,0.000939336,1,0.986493359,0.985359142
